Nome: NATAL
Codigo Estacao: A304
Latitude: -5.83722221
Longitude: -35.20805555
Altitude: 47.46
Situacao: Operante
Data Inicial: 2022-01-01
Data Final: 2025-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);
2024-04-16;null;null;null;
2024-04-17;null;null;null;
2024-04-18;null;null;null;
2024-04-19;null;null;null;
2024-04-20;null;null;null;
2024-04-21;null;null;null;
2024-04-22;null;null;null;
2024-04-23;null;null;null;
2024-04-24;null;null;null;
2024-04-25;null;null;null;
2024-04-26;null;null;null;
2024-04-27;null;null;null;
2024-04-28;null;null;null;
2024-04-29;null;null;null;
2024-04-30;null;null;null;
2024-05-01;null;null;null;
2024-05-02;null;null;null;
2024-05-03;null;null;null;
2024-05-04;null;null;null;
2024-05-05;null;null;null;
2024-05-06;null;null;null;
2024-05-07;null;null;null;
2024-05-08;null;null;null;
2024-05-09;null;null;null;
2024-05-10;null;null;null;
2024-05-11;null;null;null;
2024-05-12;null;null;null;
2024-05-13;null;null;null;
2024-05-14;null;null;null;
2024-05-15;null;null;null;
2024-05-16;null;null;null;
2024-05-17;null;null;null;
2024-05-18;null;null;null;
2024-05-19;null;null;null;
2024-05-20;null;null;null;
2024-05-21;null;null;null;
2024-05-22;null;null;null;
2024-05-23;null;null;null;
2024-05-24;null;null;null;
2024-05-25;null;null;null;
2024-05-26;null;null;null;
2024-05-27;null;null;null;
2024-05-28;null;null;null;
2024-05-29;null;null;null;
2024-05-30;null;null;null;
2024-05-31;null;null;null;
2024-06-01;null;null;null;
2024-06-02;null;null;null;
2024-06-03;null;null;null;
2024-06-04;null;null;null;
2024-06-05;null;null;null;
2024-06-06;null;null;null;
2024-06-07;null;null;null;
2024-06-08;null;null;null;
2024-06-09;null;null;null;
2024-06-10;null;null;null;
2024-06-11;null;null;null;
2024-06-12;null;null;null;
2024-06-13;null;null;null;
2024-06-14;null;null;null;
2024-06-15;null;null;null;
2024-06-16;null;null;null;
2024-06-17;null;null;null;
2024-06-18;null;null;null;
2024-06-19;null;null;null;
2024-06-20;null;null;null;
2024-06-21;null;null;null;
2024-06-22;null;null;null;
2024-06-23;null;null;null;
2024-06-24;null;null;null;
2024-06-25;null;null;null;
2024-06-26;null;null;null;
2024-06-27;null;null;null;
2024-06-28;null;null;null;
2024-06-29;null;null;null;
2024-06-30;null;null;null;
2024-07-01;null;null;null;
2024-07-02;null;null;null;
2024-07-03;null;null;null;
2024-07-04;null;null;null;
2024-07-05;null;null;null;
2024-07-06;null;null;null;
2024-07-07;null;null;null;
2024-07-08;null;null;null;
2024-07-09;null;null;null;
2024-07-10;null;null;null;
2024-07-11;null;null;null;
2024-07-12;null;null;null;
2024-07-13;null;null;null;
2024-07-14;null;null;null;
2024-07-15;null;null;null;
2024-07-16;null;null;null;
2024-07-17;null;null;null;
2024-07-18;null;null;null;
2024-07-19;null;null;null;
2024-07-20;null;null;null;
2024-07-21;null;null;null;
2024-07-22;null;null;null;
2024-07-23;null;null;null;
2024-07-24;null;null;null;
2024-07-25;null;null;null;
2024-07-26;null;null;null;
2024-07-27;null;null;null;
2024-07-28;null;null;null;
2024-07-29;null;null;null;
2024-07-30;null;null;null;
2024-07-31;null;null;null;
2024-08-01;null;null;null;
2024-08-02;null;null;null;
2024-08-03;null;null;null;
2024-08-04;null;null;null;
2024-08-05;null;null;null;
2024-08-06;null;null;null;
2024-08-07;null;null;null;
2024-08-08;null;null;null;
2024-08-09;null;null;null;
2024-08-10;null;null;null;
2024-08-11;null;null;null;
2024-08-12;null;null;null;
2024-08-13;null;null;null;
2024-08-14;null;null;null;
2024-08-15;null;null;null;
2024-08-16;null;null;null;
2024-08-17;null;null;null;
2024-08-18;null;null;null;
2024-08-19;null;null;null;
2024-08-20;null;null;90.5;
2024-08-21;null;25.6;82.3;
2024-08-22;0;26.7;77.7;
2024-08-23;2;26.3;80.5;
2024-08-24;.2;26.5;75.7;
2024-08-25;0;25.6;77.8;
2024-08-26;0;25.6;75.2;
2024-08-27;0;25.7;79.5;
2024-08-28;2;24.2;89.2;
2024-08-29;5.8;25.2;80.8;
2024-08-30;.4;25.3;78.2;
2024-08-31;0;25.2;77.6;
2024-09-01;0;25;76.1;
2024-09-02;4.6;24.5;78.1;
2024-09-03;2;24.8;80.5;
2024-09-04;.2;25.5;76.9;
2024-09-05;0;26;77.3;
2024-09-06;.2;25.8;76.5;
2024-09-07;0;26.5;79.3;
2024-09-08;1.8;26.4;81.8;
2024-09-09;.4;26.4;74.6;
2024-09-10;1;25.5;77.8;
2024-09-11;1;25.2;79.2;
2024-09-12;1.6;25.8;76.4;
2024-09-13;0;25.9;75.2;
2024-09-14;0;26.2;74.7;
2024-09-15;0;25.9;77.1;
2024-09-16;0;26.1;74.5;
2024-09-17;.2;26;77.5;
2024-09-18;0;26.2;78.7;
2024-09-19;.8;26.4;74.1;
2024-09-20;0;26;75.7;
2024-09-21;.8;25.6;76.9;
2024-09-22;2.2;25.5;79.5;
2024-09-23;0;26.1;77.3;
2024-09-24;.2;26.3;77.3;
2024-09-25;0;26.4;75.2;
2024-09-26;0;26.3;73.3;
2024-09-27;0;26.4;77.2;
2024-09-28;0;26.4;80.3;
2024-09-29;0;26.6;76.9;
2024-09-30;0;26.6;71.9;
2024-10-01;0;26.1;72.1;
2024-10-02;.6;25.8;78.8;
2024-10-03;0;26.6;77;
2024-10-04;0;26.4;74.2;
2024-10-05;0;26.4;73.4;
2024-10-06;0;25.7;77.1;
2024-10-07;0;26.4;76.2;
2024-10-08;0;26.6;76.3;
2024-10-09;0;26.6;79.2;
2024-10-10;0;26.6;77.3;
2024-10-11;0;26.8;72.9;
2024-10-12;.2;27.1;74.8;
2024-10-13;.6;26.9;79.7;
2024-10-14;0;26.9;75.3;
2024-10-15;0;26.7;74.5;
2024-10-16;0;26.9;76.4;
2024-10-17;0;26.9;75.4;
2024-10-18;.2;26.5;79.6;
2024-10-19;.4;27;76.9;
2024-10-20;.6;26.9;74;
2024-10-21;0;27.1;75.8;
2024-10-22;0;27.2;72.1;
2024-10-23;0;26.8;71.7;
2024-10-24;0;26.8;72.9;
2024-10-25;0;27;72.3;
2024-10-26;0;27.1;72;
2024-10-27;2.8;26.2;87.2;
2024-10-28;7.2;26.7;76.7;
2024-10-29;0;27.2;69.2;
2024-10-30;0;26.7;72.8;
2024-10-31;0;26.9;76.7;
2024-11-01;0;27;74.4;
2024-11-02;0;26.8;75.1;
2024-11-03;.2;27;73.6;
2024-11-04;.2;27;72.5;
2024-11-05;.4;27.1;74.6;
2024-11-06;.8;26.5;79;
2024-11-07;0;26.9;75.4;
2024-11-08;0;27.1;77;
2024-11-09;0;27.3;76.3;
2024-11-10;0;27.1;74.1;
2024-11-11;0;27.2;73.1;
2024-11-12;0;27.1;76.6;
2024-11-13;0;27.2;75.9;
2024-11-14;0;27.1;71.8;
2024-11-15;0;27.2;74.3;
2024-11-16;0;26.8;74.7;
2024-11-17;1.2;26.6;79.9;
2024-11-18;1.2;26.9;76.2;
2024-11-19;0;27.2;78;
2024-11-20;0;27.3;77.3;
2024-11-21;0;27.3;76.3;
2024-11-22;0;27.2;78.2;
2024-11-23;0;27.4;77;
2024-11-24;0;27.4;77.4;
2024-11-25;0;27.6;76;
2024-11-26;0;27.3;75.1;
2024-11-27;0;27.2;72;
2024-11-28;0;27.2;73.3;
2024-11-29;4.4;27;78.4;
2024-11-30;0;27.2;73.4;
2024-12-01;0;27.2;79.2;
2024-12-02;.2;27.4;82.2;
2024-12-03;.8;27.6;76.8;
2024-12-04;.8;27;79.5;
2024-12-05;0;27.5;72.9;
2024-12-06;.2;27.2;78.4;
2024-12-07;.6;27;77.4;
2024-12-08;3.4;27.1;80.2;
2024-12-09;0;27.6;72.4;
2024-12-10;0;27.5;71.9;
2024-12-11;0;27.4;79.3;
2024-12-12;1.4;27.7;78.4;
2024-12-13;0;27.8;74.8;
2024-12-14;6.2;26.4;85.3;
2024-12-15;1.8;27.7;81.9;
2024-12-16;.2;28;79.3;
2024-12-17;0;28;79;
2024-12-18;0;27.8;79;
2024-12-19;.6;27.8;80.2;
2024-12-20;8.4;27.6;83.1;
2024-12-21;0;28.1;78.9;
2024-12-22;0;28;77.8;
2024-12-23;0;27.9;73.8;
2024-12-24;.2;27.7;76.5;
2024-12-25;0;27.9;72.8;
2024-12-26;0;27.5;75.3;
2024-12-27;.2;27.9;76.7;
2024-12-28;0;28.1;78.4;
2024-12-29;.2;27.6;80.6;
2024-12-30;3.4;27.8;79.5;
2024-12-31;0;28.1;77.3;
2025-01-01;0;28.2;78;
2025-01-02;0;28.4;78.5;
2025-01-03;0;28.3;79.2;
2025-01-04;0;28.4;78.9;
2025-01-05;0;28.4;79.3;
2025-01-06;0;28.4;79;
2025-01-07;0;28.3;77.1;
2025-01-08;0;28.1;75.8;
2025-01-09;0;28.3;79.3;
2025-01-10;.6;28.4;81.2;
2025-01-11;.2;28.6;79.3;
2025-01-12;.2;28.2;80.8;
2025-01-13;42.4;26.8;84.4;
2025-01-14;.2;27.9;82.3;
2025-01-15;0;28.3;75.2;
2025-01-16;.2;28.1;73.7;
2025-01-17;0;27.8;74.4;
2025-01-18;0;27.9;77;
2025-01-19;6.4;27.5;79.9;
2025-01-20;3.8;27.5;79.9;
2025-01-21;0;27.9;77.8;
2025-01-22;3.6;27.8;82.3;
2025-01-23;0;28.2;73.8;
2025-01-24;0;28;73.8;
2025-01-25;0;27.9;77.5;
2025-01-26;1.6;27.5;82.7;
2025-01-27;4.6;27.3;78.6;
2025-01-28;0;27.5;80.7;
2025-01-29;0;27.9;79.5;
2025-01-30;11;27.7;81.3;
2025-01-31;0;27.9;74.5;
2025-02-01;0;28;74.8;
2025-02-02;0;28.2;76.4;
2025-02-03;0;28;77;
2025-02-04;10.8;26.5;85.8;
2025-02-05;29.2;25.8;null;
2025-02-06;46.2;24.9;null;
2025-02-07;22.2;27.2;80.8;
2025-02-08;0;27;81.5;
2025-02-09;.2;28.2;77.2;
2025-02-10;.2;27.6;77.3;
2025-02-11;1.8;27.5;81.5;
2025-02-12;.2;26.9;82.7;
2025-02-13;3.2;27.9;74.8;
2025-02-14;0;27.4;77.6;
2025-02-15;0;27.9;78.4;
2025-02-16;4.2;27.6;80.6;
2025-02-17;4.6;27.4;83.3;
2025-02-18;0;28.1;80.1;
2025-02-19;15.8;27.8;81;
2025-02-20;2.6;27.7;80.1;
2025-02-21;0;28.4;73.4;
2025-02-22;0;28;77.1;
2025-02-23;0;28.3;75.8;
2025-02-24;.4;27.8;75.2;
2025-02-25;0;27.9;75;
2025-02-26;0;28;78.3;
2025-02-27;0;27;87.8;
2025-02-28;7.8;26.6;88.6;
2025-03-01;5.2;26;91.4;
2025-03-02;23;26.8;80.2;
2025-03-03;0;27.6;82.5;
2025-03-04;17.6;27.1;78.2;
2025-03-05;0;27.8;79.7;
2025-03-06;0;28.1;75.8;
2025-03-07;0;27.4;81.6;
2025-03-08;.2;26.6;88;
2025-03-09;26.6;26.4;86.6;
2025-03-10;11.4;27.2;78;
2025-03-11;0;27.4;83.2;
2025-03-12;2.4;27.7;79.6;
2025-03-13;0;26.4;87.3;
2025-03-14;92.6;25.7;88.6;
2025-03-15;25.2;26.2;null;
2025-03-16;17.8;25.7;null;
2025-03-17;74.2;25.8;83.3;
2025-03-18;0;27;85.6;
2025-03-19;.2;28.2;78.5;
2025-03-20;0;28.4;77.9;
2025-03-21;0;28.4;78.5;
2025-03-22;0;28.4;75.7;
2025-03-23;0;28;74.9;
2025-03-24;0;27.6;74.1;
2025-03-25;0;28.3;75.3;
2025-03-26;0;28;77.3;
2025-03-27;1.2;27.9;81.2;
2025-03-28;5.2;28;80.3;
2025-03-29;.6;28.3;73.9;
2025-03-30;.8;27.8;79.5;
2025-03-31;0;28.1;76.6;
2025-04-01;0;27.8;79.8;
2025-04-02;3;26.1;89.7;
2025-04-03;5.8;27;81.9;
2025-04-04;0;28.2;75.4;
2025-04-05;12.8;26.1;88.1;
2025-04-06;8.6;27.7;82.6;
2025-04-07;4.4;26.6;80.6;
2025-04-08;0;27.5;80.3;
2025-04-09;0;28;81.1;
2025-04-10;0;28.2;81.6;
2025-04-11;.8;28.3;84.3;
2025-04-12;0;28.7;81;
2025-04-13;0;28.6;78.8;
2025-04-14;3.6;28.2;78.7;
2025-04-15;0;28.5;75.5;
2025-04-16;0;28.5;74.4;
2025-04-17;0;28.1;74.6;
2025-04-18;0;28;74.8;
2025-04-19;.6;27.7;80;
2025-04-20;1.4;28.1;84.1;
2025-04-21;1;28;83.5;
2025-04-22;10.2;27.8;83.8;
2025-04-23;1.2;27.5;79.5;
2025-04-24;3.2;26.6;87.5;
2025-04-25;13.4;27.3;79.8;
2025-04-26;0;27.7;79.2;
2025-04-27;0;27.9;77.5;
2025-04-28;21.6;27.2;86.2;
2025-04-29;0;28.2;78.9;
2025-04-30;0;27.7;77.3;
2025-05-01;0;28.3;68.2;
2025-05-02;0;27.5;73.2;
2025-05-03;0;27.5;76.6;
2025-05-04;0;27.6;76.6;
2025-05-05;3.2;27.6;79.3;
2025-05-06;0;27.8;76;
2025-05-07;10;28;77.8;
2025-05-08;0;28;81;
2025-05-09;6.2;27.1;86.4;
2025-05-10;6.4;27;81.8;
2025-05-11;19.6;27.1;79.1;
2025-05-12;3.2;27.7;79.9;
2025-05-13;0;27.8;75.3;
2025-05-14;0;26.5;82.7;
2025-05-15;8.8;24.5;94.3;
2025-05-16;48.8;24.6;null;
2025-05-17;9.2;26;80;
2025-05-18;.6;27;79.6;
2025-05-19;4.4;25.7;90;
2025-05-20;42.4;25.7;null;
2025-05-21;.8;26.1;82.3;
2025-05-22;16.8;26.5;79.9;
2025-05-23;0;26.9;80.3;
2025-05-24;0;27.1;83.8;
2025-05-25;12;27;79.6;
2025-05-26;.2;26.6;80.5;
2025-05-27;0;26.7;82.2;
2025-05-28;0;26.9;81.8;
2025-05-29;1.4;27.4;79.5;
2025-05-30;1;26.8;82;
2025-05-31;3.2;26;81.9;
2025-06-01;23.2;25.8;82.9;
2025-06-02;6.6;26.3;81.3;
2025-06-03;10.8;27;82.2;
2025-06-04;15.2;26.1;86.1;
2025-06-05;5.2;26.9;83.9;
2025-06-06;1.8;26.6;83.7;
2025-06-07;.2;26.4;82.8;
2025-06-08;34.4;26.3;87.5;
2025-06-09;6.6;26.4;82.6;
2025-06-10;1;27.3;80.8;
2025-06-11;2.4;26.4;84.1;
2025-06-12;1.8;26.2;79;
2025-06-13;5.4;26.3;77;
2025-06-14;9;25.5;80.7;
2025-06-15;1;26.4;73.2;
2025-06-16;0;26.4;78;
2025-06-17;3.8;25.4;86.4;
2025-06-18;111.8;24.3;null;
2025-06-19;32.6;25.3;null;
2025-06-20;33;26;85.9;
2025-06-21;45;23.8;null;
2025-06-22;66.4;25.2;84.2;
2025-06-23;5.2;25.9;83.2;
2025-06-24;.4;26.9;81.5;
2025-06-25;0;26.6;79.5;
2025-06-26;2;25.7;79.8;
2025-06-27;2;25.7;80.9;
2025-06-28;22;24.7;96.5;
2025-06-29;26.8;25.7;81.9;
2025-06-30;.8;25.8;86.3;
2025-07-01;7.8;26.1;91;
2025-07-02;30;24.6;85;
2025-07-03;.4;24;81.9;
2025-07-04;11.8;24.9;77.1;
2025-07-05;0;25.4;80.1;
2025-07-06;0;25.8;81.5;
2025-07-07;2.2;24.6;90.3;
2025-07-08;4.8;25.4;82.9;
2025-07-09;0;23.5;85.5;
2025-07-10;37;23.7;86.8;
2025-07-11;11;23.9;null;
2025-07-12;11.2;24.5;82.1;
2025-07-13;0;24.7;83.8;
2025-07-14;.6;24.6;87.7;
2025-07-15;1.6;24.9;82.6;
2025-07-16;0;25.2;76.3;
2025-07-17;0;24.7;81.4;
2025-07-18;0;25.5;84.7;
2025-07-19;0;26;82.8;
2025-07-20;27.6;24;null;
2025-07-21;14.4;25.1;79.9;
2025-07-22;0;25.3;83.8;
2025-07-23;0;25.4;88.2;
2025-07-24;2.6;25.9;84.7;
2025-07-25;.4;24.9;80.5;
2025-07-26;0;24.7;80.6;
2025-07-27;5.8;23.5;null;
2025-07-28;10.2;24.2;null;
2025-07-29;7.2;26;84.2;
2025-07-30;1.2;26;81.6;
2025-07-31;0;26.5;80.8;
2025-08-01;.2;26.1;79.5;
2025-08-02;0;25.7;82.5;
2025-08-03;1.4;25.5;80;
2025-08-04;8.2;25.1;79.1;
2025-08-05;.8;24.8;85.3;
2025-08-06;7;25.1;86.1;
2025-08-07;1;25.2;80.8;
2025-08-08;.4;25.1;85.1;
2025-08-09;7.2;25;88.4;
2025-08-10;2.8;25.6;80.2;
2025-08-11;0;26.1;82.5;
2025-08-12;1.4;26.2;81.5;
2025-08-13;2.8;26;76.4;
2025-08-14;0;25.7;81.7;
2025-08-15;82.8;24.1;85.1;
2025-08-16;6.6;24.5;null;
2025-08-17;19;24.5;73.8;
2025-08-18;.4;24.8;77.4;
2025-08-19;0;24.8;79.3;
2025-08-20;.8;25;77.9;
2025-08-21;0;25.8;76.5;
2025-08-22;0;26.1;76.7;
2025-08-23;7.4;24.7;81.2;
2025-08-24;7.4;24.5;84.9;
2025-08-25;6.6;25.5;81.1;
2025-08-26;5;25.7;77.8;
2025-08-27;0;25.7;77.2;
2025-08-28;0;25.5;77;
2025-08-29;5.2;25;80.7;
2025-08-30;0;25.1;80.7;
2025-08-31;15;24.1;89.8;
2025-09-01;8.2;24.8;83.2;
2025-09-02;1.6;24.7;81.3;
2025-09-03;19.6;24.8;75.4;
2025-09-04;8.6;24.6;83.1;
2025-09-05;7.6;25.6;78.8;
2025-09-06;5;25.5;87.7;
2025-09-07;4.4;25.1;81.9;
2025-09-08;0;25.4;79.8;
2025-09-09;0;26.2;76.2;
2025-09-10;0;25.8;81.1;
2025-09-11;0;26.2;79.5;
2025-09-12;0;26.1;81.6;
2025-09-13;0;26.6;78.5;
2025-09-14;0;26.6;74.6;
2025-09-15;0;26.3;74.5;
2025-09-16;0;26.1;75.2;
2025-09-17;0;26.6;75.7;
2025-09-18;.2;26.1;80.5;
2025-09-19;.2;26.1;75.2;
2025-09-20;0;26.3;76.2;
2025-09-21;.2;26.7;75.1;
2025-09-22;0;26.7;76.3;
2025-09-23;0;26.7;76.9;
2025-09-24;0;27;75.4;
2025-09-25;2.6;26.1;78;
2025-09-26;.4;25.7;74.9;
2025-09-27;0;25.5;71.6;
2025-09-28;0;25.5;71.5;
2025-09-29;.2;25.8;76;
2025-09-30;.2;25.9;79.7;
2025-10-01;11.2;25.1;86.2;
2025-10-02;2.6;24.9;80.9;
2025-10-03;.8;25.9;73.9;
2025-10-04;0;25.3;76.8;
2025-10-05;1.2;25.9;76.6;
2025-10-06;0;25.7;77;
2025-10-07;0;26.5;73.8;
2025-10-08;0;26.5;79.1;
2025-10-09;0;26.8;79.4;
2025-10-10;0;26.6;75.4;
2025-10-11;1.2;26.1;81.9;
2025-10-12;.4;26.8;79.2;
2025-10-13;0;26.9;78.4;
2025-10-14;0;26.8;75.1;
2025-10-15;.8;26.6;74.6;
2025-10-16;0;26;75.4;
2025-10-17;0;26.1;78.8;
2025-10-18;0;26.9;76.9;
2025-10-19;0;26.7;77.9;
2025-10-20;0;26.9;80;
2025-10-21;0;27.1;72.2;
2025-10-22;0;null;74.9;
2025-10-23;null;26.1;81.1;
2025-10-24;.8;27.1;77;
2025-10-25;0;27.1;71;
2025-10-26;.2;26.5;73.8;
2025-10-27;3.2;26.3;79.7;
2025-10-28;4;26.5;79.2;
2025-10-29;0;26.3;79;
2025-10-30;.2;26.1;81.6;
2025-10-31;1.6;26.6;77.8;
2025-11-01;0;26.7;72.4;
2025-11-02;0;26.3;77.7;
2025-11-03;.2;26.7;78;
2025-11-04;0;26.8;75.6;
2025-11-05;0;27;74.2;
2025-11-06;0;26.8;75;
2025-11-07;0;26.1;80.8;
2025-11-08;0;27.2;76.7;
2025-11-09;0;27.1;78.5;
2025-11-10;0;27.3;75.6;
2025-11-11;0;27.2;73.2;
2025-11-12;0;27.1;73.3;
2025-11-13;0;26.6;75.8;
2025-11-14;.6;27;74;
2025-11-15;.4;26.6;75;
2025-11-16;0;26.9;74.7;
2025-11-17;0;27.1;76.3;
2025-11-18;0;27.2;75.6;
2025-11-19;0;27.2;75.5;
2025-11-20;0;27.1;77.3;
2025-11-21;0;27.4;75.6;
2025-11-22;0;27.3;73.5;
2025-11-23;0;27.2;73.4;
2025-11-24;0;27.3;76.3;
2025-11-25;1.8;27.1;80.3;
2025-11-26;0;27.4;76.3;
2025-11-27;0;27.4;75.6;
2025-11-28;0;27.5;75.9;
2025-11-29;.2;27.3;74.8;
2025-11-30;0;27.2;74.2;
2025-12-01;0;null;null;
2025-12-02;0;null;null;
2025-12-03;1.4;null;null;
2025-12-04;0;null;null;
2025-12-05;0;null;null;
2025-12-06;0;null;null;
2025-12-07;4.6;null;null;
2025-12-08;0;null;null;
2025-12-09;0;null;null;
2025-12-10;1.2;null;null;
2025-12-11;0;null;null;
2025-12-12;0;null;null;
2025-12-13;0;null;null;
2025-12-14;0;null;null;
2025-12-15;0;null;null;
2025-12-16;0;null;null;
2025-12-17;.2;null;null;
2025-12-18;0;null;null;
2025-12-19;0;null;null;
2025-12-20;0;null;null;
2025-12-21;0;null;null;
2025-12-22;0;27;77.1;
2025-12-23;.4;null;null;
2025-12-24;0;null;null;
2025-12-25;0;null;null;
2025-12-26;0;null;null;
2025-12-27;0;null;null;
2025-12-28;0;null;null;
2025-12-29;0;null;null;
2025-12-30;0;null;null;
2025-12-31;0;null;null;

